city_area_name;legacyNortrafMpn;base_year;agreement_start;trp_id;kommentar
Tromsø;1900269;2017;2017;68511V2673383;
Tromsø;1900270;2017;2017;55092V1125799;
Tromsø;1900273;2017;2017;49212V1126027;
Tromsø;1900276;2017;2017;13980V1126353;
Tromsø;1900280;2017;2017;71291V1125935;
Tromsø;1900441;2017;2017;52576V1126026;
Trondheim;1600012;2017;2017;81077V72158;
Trondheim;1600078;2017;2017;81008V41567;
Trondheim;1600097;2017;2017;14772V41375;
Trondheim;1600101;2017;2017;16219V72812;
Trondheim;1600122;2017;2017;27372V72852;
Trondheim;1600125;2017;2017;65625V41945;
Trondheim;1600126;2017;2017;21801V72158;
Trondheim;1600127;2017;2017;88356V72157;
Trondheim;1600149;2017;2017;21571V2394246;
Trondheim;1600149;2017;2017;73951V2394243;
Trondheim;1601417;2017;2017;91594V1677415;
Trondheim;1601418;2017;2017;09604V1677439;
Trondheim;1601419;2017;2017;03960V1677432;
Trondheim;1602407;2017;2017;20570V72811;
Oslo og Viken;200120;2019;2019;00222V444290;
Oslo og Viken;;2019;2019;00378V444233;
Oslo og Viken;200119;2019;2019;00492V443603;
Oslo og Viken;;2019;2019;01615V443711;
Oslo og Viken;300096;2019;2019;02087V625292;
Oslo og Viken;;2019;2019;04525V625637;
Oslo og Viken;200820;2019;2019;04925V444232;
Oslo og Viken;;2019;2019;07144V625582;
Oslo og Viken;;2019;2019;10924V2275488;
Oslo og Viken;300022;2019;2019;12357V625212;
Oslo og Viken;;2019;2019;13447V625213;
Oslo og Viken;;2019;2019;13658V2659403;
Oslo og Viken;;2019;2019;13999V625502;
Oslo og Viken;;2019;2019;14487V2479113;
Oslo og Viken;;2019;2019;14775V443441;
Oslo og Viken;;2019;2019;15135V443654;
Oslo og Viken;;2019;2019;16271V444295;
Oslo og Viken;;2019;2019;16477V625646;
Oslo og Viken;;2019;2019;17839V604335;
Oslo og Viken;;2019;2019;18012V444303;
Oslo og Viken;;2019;2019;18512V1665976;
Oslo og Viken;;2019;2019;18573V444291;
Oslo og Viken;;2019;2019;18674V443880;
Oslo og Viken;;2019;2019;18788V1811746;
Oslo og Viken;;2019;2019;22654V443542;
Oslo og Viken;202077;2019;2019;24927V443403;
Oslo og Viken;;2019;2019;25348V625498;
Oslo og Viken;;2019;2019;27857V444273;
Oslo og Viken;202200;2019;2019;28516V444278;
Oslo og Viken;302137;2019;2019;29403V625517;
Oslo og Viken;300108;2019;2019;29852V2460300;
Oslo og Viken;300016;2019;2019;31290V625405;
Oslo og Viken;200209;2019;2019;32088V444219;
Oslo og Viken;;2019;2019;32135V604101;
Oslo og Viken;;2019;2019;32982V443679;
Oslo og Viken;300030;2019;2019;33808V625649;
Oslo og Viken;;2019;2019;39427V444105;
Oslo og Viken;;2019;2019;41331V443662;
Oslo og Viken;;2019;2019;42754V444240;
Oslo og Viken;;2019;2019;43379V443819;
Oslo og Viken;;2019;2019;47044V625502;
Oslo og Viken;205310;2019;2019;47719V443837;
Oslo og Viken;209676;2019;2019;48300V443646;
Oslo og Viken;;2019;2019;51809V443636;
Oslo og Viken;200006;2019;2019;52685V444218;
Oslo og Viken;;2019;2019;55647V444294;
Oslo og Viken;;2019;2019;56322V444263;
Oslo og Viken;;2019;2019;57391V443788;
Oslo og Viken;;2019;2019;59048V2545015;
Oslo og Viken;;2019;2019;60538V443575;
Oslo og Viken;300086;2019;2019;60739V625530;
Oslo og Viken;;2019;2019;61394V604898;
Oslo og Viken;;2019;2019;61469V605671;
Oslo og Viken;;2019;2019;62991V604777;
Oslo og Viken;;2019;2019;63515V1811747;
Oslo og Viken;;2019;2019;63730V443521;
Oslo og Viken;;2019;2019;63827V443579;
Oslo og Viken;300231;2019;2019;66410V625367;
Oslo og Viken;;2019;2019;67263V1811577;
Oslo og Viken;;2019;2019;68539V625646;
Oslo og Viken;;2019;2019;68651V2350599;
Oslo og Viken;;2019;2019;69184V2802005;
Oslo og Viken;202188;2019;2019;70816V443409;
Oslo og Viken;;2019;2019;71081V443831;
Oslo og Viken;;2019;2019;71241V2460301;
Oslo og Viken;;2019;2019;71608V603756;
Oslo og Viken;;2019;2019;72355V444049;
Oslo og Viken;200160;2019;2019;74943V443384;
Oslo og Viken;;2019;2019;76407V1773686;
Oslo og Viken;;2019;2019;76429V2548000;
Oslo og Viken;;2019;2019;77061V444230;
Oslo og Viken;200135;2019;2019;77294V2571508;
Oslo og Viken;;2019;2019;79110V444262;
Oslo og Viken;300225;2019;2019;79755V625294;
Oslo og Viken;300349;2019;2019;79854V625215;
Oslo og Viken;200200;2019;2019;80141V444220;
Oslo og Viken;;2019;2019;80669V444288;
Oslo og Viken;;2019;2019;81350V444302;
Oslo og Viken;300093;2019;2019;82177V625405;
Oslo og Viken;;2019;2019;84303V443695;
Oslo og Viken;;2019;2019;84851V605851;
Oslo og Viken;;2019;2019;84967V625637;
Oslo og Viken;;2019;2019;87161V2659404;
Oslo og Viken;;2019;2019;88046V1874722;
Oslo og Viken;200229;2019;2019;88563V444277;
Oslo og Viken;;2019;2019;89787V605343;
Oslo og Viken;202082;2019;2019;90390V443603;
Oslo og Viken;;2019;2019;91761V625485;
Oslo og Viken;;2019;2019;98682V444320;
Oslo og Viken;;2019;2019;99353V625530;
Trondheim;;2019;2019;22504V72241;
Grenland sykkel;800503;2016;2016;43849B2033722;
Grenland sykkel;800504;2016;2016;41296B1876847;
Grenland sykkel;800506;2016;2016;09375B1846469;
Grenland sykkel;800507;2016;2016;99100B1687283;
Grenland sykkel;800508;2016;2016;80565B1689290;
Grenland sykkel;800509;2016;2016;62293B521240;
Grenland sykkel;800510;2016;2016;09211B1846343;
Grenland sykkel;800511;2016;2016;27243B1688380;
Grenland sykkel;800512;2016;2016;83247B1886516;
Grenland sykkel;800513;2016;2016;57147B1846471;
Grenland sykkel;800514;2016;2016;51338B1983155;
Grenland sykkel;800515;2016;2016;40000B1846336;
Grenland sykkel;800517;2016;2016;28379B1846414;
