"felt";"year";"klasse";"month";"base_volume";"calc_volume";"indeks";"stasjon";"kode"
"KROP-";2018;"Alle";12;5824221;5528914;-5,07032614318722;"Kroppan bru";56
"KROP-";2018;"Liten_bil";12;5337524;5048916;-5,40715133084179;"Kroppan bru";56
"KROP-";2018;"Stor_bil";12;424197;446981;5,37108937592674;"Kroppan bru";56
"KROP-";2018;"Ukjent";12;62500;33017;-47,1728;"Kroppan bru";56
"KROP-";2019;"Alle";12;5528914;5505502;-0,423446629844482;"Kroppan bru";56
"KROP-";2019;"Liten_bil";12;5048916;5049610;0,0137455247819496;"Kroppan bru";56
"KROP-";2019;"Stor_bil";12;446981;427340;-4,39414650734595;"Kroppan bru";56
"KROP-";2019;"Ukjent";12;33017;28552;-13,5233364630342;"Kroppan bru";56
"KROP-";2020;"Alle";12;5505502;5066661;-7,97095342077798;"Kroppan bru";56
"KROP-";2020;"Liten_bil";12;5049610;4692850;-7,06510007703566;"Kroppan bru";56
"KROP-";2020;"Stor_bil";12;427340;347489;-18,6855899283943;"Kroppan bru";56
"KROP-";2020;"Ukjent";12;28552;26322;-7,81031101148781;"Kroppan bru";56
"KROP-";2021;"Alle";3;1249678;1209449;-3,21914925284753;"Kroppan bru";56
"KROP-";2021;"Liten_bil";3;1147903;1108530;-3,42999364928919;"Kroppan bru";56
"KROP-";2021;"Stor_bil";3;95060;94518;-0,570166210814227;"Kroppan bru";56
"KROP-";2021;"Ukjent";3;6715;6401;-4,67609828741623;"Kroppan bru";56
"LANDB";2017;"Alle";12;1916245;1884777;-1,64216997304625;"Landbruksvegen";61
"LANDB";2017;"Liten_bil";12;1835603;1818624;-0,924982144831976;"Landbruksvegen";61
"LANDB";2017;"Stor_bil";12;52509;40781;-22,3352187244091;"Landbruksvegen";61
"LANDB";2017;"Ukjent";12;28133;25372;-9,81409732342801;"Landbruksvegen";61
"LANDB";2018;"Alle";12;1884777;1940333;2,94761661459153;"Landbruksvegen";61
"LANDB";2018;"Liten_bil";12;1818624;1866726;2,64496674408783;"Landbruksvegen";61
"LANDB";2018;"Stor_bil";12;40781;54147;32,775066820333;"Landbruksvegen";61
"LANDB";2018;"Ukjent";12;25372;19460;-23,3012769982658;"Landbruksvegen";61
"LANDB";2019;"Alle";12;1940333;1914553;-1,32863791936745;"Landbruksvegen";61
"LANDB";2019;"Liten_bil";12;1866726;1826458;-2,15714571929678;"Landbruksvegen";61
"LANDB";2019;"Stor_bil";12;54147;44591;-17,6482538275435;"Landbruksvegen";61
"LANDB";2019;"Ukjent";12;19460;43504;123,556012332991;"Landbruksvegen";61
"LANDB";2020;"Alle";12;1914553;1866936;-2,487107956792;"Landbruksvegen";61
"LANDB";2020;"Liten_bil";12;1826458;1808087;-1,0058265779996;"Landbruksvegen";61
"LANDB";2020;"Stor_bil";12;44591;32643;-26,7946446592362;"Landbruksvegen";61
"LANDB";2020;"Ukjent";12;43504;26206;-39,7618609783008;"Landbruksvegen";61
"LANDB";2021;"Alle";3;420382;449837;7,00672245719369;"Landbruksvegen";61
"LANDB";2021;"Liten_bil";3;400512;439699;9,78422619047619;"Landbruksvegen";61
"LANDB";2021;"Stor_bil";3;8755;5245;-40,0913763563678;"Landbruksvegen";61
"LANDB";2021;"Ukjent";3;11115;4893;-55,9784075573549;"Landbruksvegen";61
"LEIRF";2017;"Alle";12;800922;862054;7,63270330943588;"Nedre Leirfoss (Fossestuvegen)";53
"LEIRF";2017;"Liten_bil";12;715789;786371;9,86072711371648;"Nedre Leirfoss (Fossestuvegen)";53
"LEIRF";2017;"Stor_bil";12;54356;61025;12,2691147251453;"Nedre Leirfoss (Fossestuvegen)";53
"LEIRF";2017;"Ukjent";12;30777;14658;-52,3735256847646;"Nedre Leirfoss (Fossestuvegen)";53
"LEIRF";2018;"Alle";12;862054;799623;-7,24212172323312;"Nedre Leirfoss (Fossestuvegen)";53
"LEIRF";2018;"Liten_bil";12;786371;734901;-6,54525662823273;"Nedre Leirfoss (Fossestuvegen)";53
"LEIRF";2018;"Stor_bil";12;61025;57638;-5,55018435067596;"Nedre Leirfoss (Fossestuvegen)";53
"LEIRF";2018;"Ukjent";12;14658;7084;-51,6714422158548;"Nedre Leirfoss (Fossestuvegen)";53
"LEIRF";2019;"Alle";12;799623;765994;-4,20560689224797;"Nedre Leirfoss (Fossestuvegen)";53
"LEIRF";2019;"Liten_bil";12;734901;698010;-5,01985981785301;"Nedre Leirfoss (Fossestuvegen)";53
"LEIRF";2019;"Stor_bil";12;57638;61697;7,04222908497867;"Nedre Leirfoss (Fossestuvegen)";53
"LEIRF";2019;"Ukjent";12;7084;6287;-11,2507058159232;"Nedre Leirfoss (Fossestuvegen)";53
"LEIRF";2020;"Alle";12;765994;757470;-1,11280245014974;"Nedre Leirfoss (Fossestuvegen)";53
"LEIRF";2020;"Liten_bil";12;698010;686964;-1,58249881806851;"Nedre Leirfoss (Fossestuvegen)";53
"LEIRF";2020;"Stor_bil";12;61697;64206;4,06664829732402;"Nedre Leirfoss (Fossestuvegen)";53
