"trp_id";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"msnr";"adt";"year";"index_18";"index_19";"base_volume";"calc_volume";"index_20";"index"
"45610V804781";"Fjøsanger V/Bomst.";"EV39 S78D1 m3438";"Ev39";"Vestland";"Bergen";60,352808;5,338256;"0.4561@804781";1200381;30960;2020;-2,6;-1,9;13688827;12394705;-9,93;-13,9
"02940V805615";"Nesttun Tunnel";"EV39 S78D1 m8737";"Ev39";"Vestland";"Bergen";60,315184;5,355439;"0.0294@805615";1200124;16530;2020;1;-6,4;6109358;5829890;-4,97;-10,2
"56658V804775";"Vallaheiene";"EV39 S79D1 m2754";"Ev39";"Vestland";"Bergen";60,297597;5,381083;"0.56658@804775";1201201;12970;2018;1,2;-2,6;NA;NA;NA;NA
"66206V805614";"Røykenes";"EV39 S80D1 m75";"Ev39";"Vestland";"Bjørnafjorden";60,254099;5,437843;"0.66406@805614";1200007;10480;2020;-0,6;-1,2;4747160;4417243;-7,27;-8,9
"27754V805707";"Damsgårdtunnelen";"RV555 S1D1 m2621";"Rv555";"Vestland";"Bergen";60,381229;5,293341;"0.27754@805707";1200235;33940;2020;-0,7;0,9;11763886;10934520;-7,48;-7,3
"29614V805708";"Sotrabrua Vest";"RV555 S1D1 m11739";"Rv555";"Vestland";"Øygarden";60,372083;5,155691;"0.29614@805708";1201371;23480;2020;0,6;0;10190440;9558922;-6,46;-5,9
"21768V805002";"Torborg Nedreaasgt.";"RV555 S1D20 m342";"Rv555";"Vestland";"Bergen";60,388477;5,314641;"0.21768@805002";1200032;15050;2020;-3,9;-1,9;NA;NA;NA;NA
"75005V805120";"Håvardstun";"RV580 S1D1 m5290";"Rv580";"Vestland";"Bergen";60,290685;5,295807;"0.75005@805120";1201311;17780;2020;-1,4;-0,2;NA;NA;NA;NA
"93526V805122";"Bg.lufthavn,Flesland";"RV580 S2D1 m1472";"Rv580";"Vestland";"Bergen";60,292318;5,236722;"0.93526@805122";1201315;12900;2018;-2,1;-0,9;NA;NA;NA;NA
"62778V805646";"Gullbotn";"FV49 S12D1 m3689";"Fv49";"Vestland";"Samnanger";60,398249;5,650308;"0.62778@805646";1200052;4330;2018;2;-1,4;NA;NA;NA;NA
"49658V804949";"Løvstakktunnelen";"FV540 S1D1 m1201";"Fv540";"Vestland";"Bergen";60,371819;5,304316;"0.49658@804949";1200277;10110;2020;-10,3;3,3;4131061;4153302;0,4;-7
"12021V805693";"Rådal";"FV546 S1D1 m1164";"Fv546";"Vestland";"Bergen";60,283242;5,325618;"0.12021@805693";1201532;12910;2018;-1,7;-0,6;NA;NA;NA;NA
"52794V805054";"Bønes";"FV556 S1D1 m2620";"Fv556";"Vestland";"Bergen";60,328319;5,31105;"0.52794@805054";1200011;14740;2019;-0,2;-5,7;NA;NA;NA;NA
"23323V805716";"Straume Bro";"FV556 S1D1 m5178";"Fv556";"Vestland";"Bergen";60,322399;5,270436;"0.23323@805716";1204343;3760;2020;-2,2;4,4;1456219;1483984;2,32;4,5
"73171V2394461";"Håkonsvernveien";"FV558 S1D1 m7129";"Fv558";"Vestland";"Bergen";60,359939;5,233886;"0.73171@2394461";1203221;12660;2018;0,8;-1,2;NA;NA;NA;NA
"13600V805722";"Olsviktunnelen";"FV562 S1D1 m1355";"Fv562";"Vestland";"Bergen";60,38428;5,215827;"0.136@805722";1200234;17680;2020;0,5;-0,4;7150789;6746064;-5,47;-5,4
"81009V805718";"Bjørndalstræ";"FV574 S2D1 m3561";"Fv574";"Vestland";"Bergen";60,359852;5,242661;"0.81699@805718";1204053;5410;2020;-1,1;-6,2;2280681;2002636;-12,92;-19,2
"86173V805748";"Torget";"FV577 S1D1 m1022";"Fv577";"Vestland";"Bergen";60,395323;5,325935;"0.86172@805748";1209097;8520;2020;-2,8;NA;4868474;3731743;-19,99;NA
"73916V805421";"Vågsbotn Fv578";"FV578 S3D1 m928";"Fv578";"Vestland";"Bergen";60,476641;5,34775;"0.73916@805421";1203002;4660;2020;-2,3;-12,7;1526721;1509735;-1,85;-16,3
"03038V2403072";"Skjold";"FV582 S1D1 m272";"Fv582";"Vestland";"Bergen";60,303045;5,33239;"0.03038@2403072";1200149;15950;2020;1,7;-7,5;6748122;6048753;-10,72;-16
"63829V805140";"Storetveitveien Bom";"FV582 S2D1 m3716";"Fv582";"Vestland";"Bergen";60,345379;5,347744;"0.63829@805140";1200092;5970;2020;-3,5;-3,1;2300922;2306152;0,4;-6,1
"27019V805142";"Michael Krohngt.bom";"FV584 S1D1 m2851";"Fv584";"Vestland";"Bergen";60,381649;5,317685;"0.27019@805142";1200091;6500;2020;0,7;-2,3;3137922;2628678;-17,42;-18,8
"57064V805714";"Gyldenpris - Puddefjordsbroen";"FV584 S1D1 m3009 KD2 m27";"Fv584";"Vestland";"Bergen";60,38196;5,316023;"0.57064@805714";1200030;540;2020;-4,5;-0,3;150310;179753;12,03;6,7
"40830V805015";"Laksevåg - Puddefjordsbroen";"FV584 S1D1 m3009 KD3 m80";"Fv584";"Vestland";"Bergen";60,382003;5,315859;"0.4083@805015";1200031;1050;2020;-2,9;-4,8;630192;294306;-54,22;-57,7
"16849V805748";"Natland Bomstasjon";"FV585 S1D1 m1689";"Fv585";"Vestland";"Bergen";60,346759;5,364217;"0.1699@805748";1203240;8420;2020;-3,4;-2,1;3416874;3299757;-3,05;-8,3
"26420V805748";"Mannsverk";"FV585 S1D1 m2624";"Fv585";"Vestland";"Bergen";60,354571;5,368386;"0.26423@805748";1200068;9660;2020;-4,3;-1,9;2634864;2511237;-4,75;-10,6
"71258V805748";"Kalfarbakken";"FV585 S1D1 m7054";"Fv585";"Vestland";"Bergen";60,387905;5,343274;"0.71258@805748";1201211;4740;2018;-0,4;-2,3;NA;NA;NA;NA
"20642V805115";"Heldal Farstavle";"FV587 S2D1 m3718";"Fv587";"Vestland";"Bergen";60,344695;5,40441;"0.20642@805115";1204427;9000;2018;2;NA;NA;NA;NA;NA
"62279V805789";"Nordvik";"FV5158 S2D1 m242";"Fv5158";"Vestland";"Bjørnafjorden";60,225039;5,374856;"0.62279@805789";1203111;2060;2020;2,9;1,2;658690;589259;-10,81;-7,1
"67622V805008";"Loddefjord Nord";"FV5216 S1D1 m975";"Fv5216";"Vestland";"Bergen";60,37008;5,232315;"0.67622@805008";1200262;11420;2020;-3,9;-4,2;4126128;3965495;-3,84;-11,5
"14247V2353784";"Gamle Nygårdsbro";"FV5332 S1D1 m235";"Fv5332";"Vestland";"Bergen";60,381387;5,333237;"0.14247@2353784";1203134;4400;2020;-2,8;-4,8;1966563;1808882;-7,79;-14,7
"83347V805435";"Indre Arna Fv276";"FV5354 S2D1 m3729";"Fv5354";"Vestland";"Bergen";60,421439;5,46144;"0.83347@805435";1203252;7960;2020;0,5;2,7;3154932;3026468;-5,1;-2,1
"87138V755378";"Damsgårdsveien Bom";"KV4382 S1D1 m1203";"Kv4382";"Vestland";"Bergen";60,382816;5,31545;"0.87138@755378";1200093;910;2020;0,6;-16,3;224368;360126;64,73;38,7
