"trp_id";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"msnr";"year";"coverage";"length_quality";"aadt_total";"aadt_lette";"aadt_tunge";"index_19";"index_20";"index_21";"index_22";"index"
"71241V2460301";"Kong Håkon 5.S Gt Nordgående";"RV162 S1D1 m826";"Rv 162";"Oslo";"Oslo";59,905889;10,761544;"0.71241@2460301";NA;2021;99,99;98;11340;9790;1370;NA;-7,82;NA;19,95;NA
"29852V2460300";"Kong Håkon 5.S Gt Sydgående";"RV162 S1D1 m1063";"Rv 162";"Oslo";"Oslo";59,905927;10,761306;"0.29852@2460300";300108;2021;99,99;100;10850;9570;1280;3,9;-7,15;NA;22,28;NA
"29403V625517";"Vaterlandtunnelen";"RV162 S1D1 m2978";"Rv 162";"Oslo";"Oslo";59,916004;10,7493;"0.29376@625517";302137;2021;100;100;12430;11900;490;4,9;NA;-9,59;21,66;NA
"60739V625530";"Grorud Stasjon 1,2,3,4";"RV163 S1D1 m6463";"Rv 163";"Oslo";"Oslo";59,950602;10,88577;"0.60739@625530";300086;2021;99,99;99;21580;18360;3110;NA;0;0;20,25;NA
"99353V625530";"Ø.akersvei 1,2";"RV163 S1D1 m10230";"Rv 163";"Oslo";"Oslo";59,948419;10,947038;"0.99353@625530";NA;2021;100;100;13490;12270;1210;NA;-10,84;-5,02;20,12;NA
"88046V1874722";"Fjerdingby";"FV120 S11D1 m2908";"Fv 120";"Viken";"Rælingen";59,916662;11,080284;"0.37419@1874722";NA;2021;100;99;10450;9530;860;NA;NA;-2,52;14,86;NA
"63730V443521";"Ullerudsletta";"FV152 S1D50 m605";"Fv 152";"Viken";"Frogn";59,669764;10,64825;"0.6373@443521";NA;2021;100;100;13840;13060;780;NA;-0,45;0,08;7,75;NA
"76429V2548000";"Ås Nlh Vollebekk";"FV152 S2D1 m695";"Fv 152";"Viken";"Ås";59,664587;10,758494;"0.04323@2548000";NA;2021;100;100;10450;9420;980;NA;NA;-4,97;20,54;NA
"79110V444262";"Holstadvn. Aas";"FV152 S3D1 m2027";"Fv 152";"Viken";"Ås";59,683791;10,813044;"0.7911@444262";NA;2021;99,7;100;8180;7380;760;NA;NA;-6,69;20,2;NA
"56322V444263";"Halstad Nordre";"FV152 S4D1 m1147";"Fv 152";"Viken";"Ås";59,694729;10,829138;"0.35661@444263";NA;2021;100;100;5960;5330;620;NA;-6,91;-7,44;23,7;NA
