"trp_id";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"adt";"year";"index_20"
"63827V443579";"NORDBYVEIEN";"FV158 S1D1 m5977";"Fv158";"Viken";"Lillestrøm";59,974641;11,003592;"0.63827@443579";12800;2016;-8,194
"00492V443603";"OSLO GRENSE";"FV160 S1D1 m5";"Fv160";"Viken";"Bærum";59,926714;10,625671;"0.00492@443603";10450;2016;-9,81
"90390V443603";"BÆRUM RINGSTADBEKK";"FV160 S1D1 m2028";"Fv160";"Viken";"Bærum";59,920041;10,596105;"0.9039@443603";8570;2016;-12,742
"80669V444288";"Brynsv v/Levre";"FV164 S2D1 m1800";"Fv164";"Viken";"Bærum";59,905406;10,513921;"0.80669@444288";8060;2018;NA
"51809V443636";"BLAKSTAD NORD";"FV165 S1D1 m5181";"Fv165";"Viken";"Asker";59,821449;10,464773;"0.51809@443636";11750;2017;-7,599
"48300V443646";"Fornebuveien";"FV166 S1D1 m401";"Fv166";"Viken";"Bærum";59,905127;10,629208;"0.483@443646";21100;2019;NA
"15135V443654";"ASKER XFV207 SIKTA";"FV167 S2D1 m5955";"Fv167";"Viken";"Asker";59,824722;10,435777;"0.15134@443654";18140;2019;-9,502
"00222V444290";"LYSAKERELVA";"FV168 S1D1 m12";"Fv168";"Viken";"Bærum";59,952675;10,6338;"0.00222@444290";11520;2016;-8,05
"41331V443662";"LOMMEDALSVEIEN";"FV168 S3D1 m283";"Fv168";"Viken";"Bærum";59,911078;10,489273;"0.41331@443662";10900;2016;NA
"18573V444291";"Fjellsrud";"FV169 S1D1 m1820";"Fv169";"Viken";"Lillestrøm";59,877622;11,245666;"0.18573@444291";2750;2017;NA
"55647V444294";"A-H LIERFOSS";"FV170 S3D1 m5520";"Fv170";"Viken";"Aurskog-Høland";59,919055;11,52945;"0.55647@444294";7000;2019;NA
"16271V444295";"HVAL";"FV171 S1D1 m2195";"Fv171";"Viken";"Lillestrøm";60,019579;11,126807;"0.16271@444295";7870;2016;-10,742
"32982V443679";"Industriveien Jessheim";"FV174 S2D1 m2775";"Fv174";"Viken";"Ullensaker";60,151984;11,188145;"0.32982@443679";8770;2017;-11,273
"81350V444302";"NORDRE BRAUTER";"FV175 S3D1 m6096";"Fv175";"Viken";"Nes";60,103979;11,443003;"0.8135@444302";2470;2016;-6,939
"18012V444303";"Årnes Runni";"FV175 S4D1 m1552";"Fv175";"Viken";"Nes";60,134365;11,484977;"0.18118@444303";3370;2018;-8,916
"84303V443695";"SAND ULLENSAKER";"FV178 S2D1 m2848";"Fv178";"Viken";"Ullensaker";60,151207;11,139516;"0.84303@443695";5700;2017;-7,696
"01615V443711";"Garmo";"FV181 S1D1 m715";"Fv181";"Viken";"Eidsvoll";60,328987;11,207085;"0.01615@443711";8700;2019;NA
"14487V2479113";"Fv 6 Vestby storsenter";"FV1361 S1D10 m150";"Fv1361";"Viken";"Vestby";59,602619;10,742781;"0.14487@2479113";10100;2018;NA
"98682V444320";"TARALDRUDVEIEN";"FV1418 S2D1 m1159";"Fv1418";"Viken";"Nordre Follo";59,797305;10,839749;"0.98682@444320";8030;2018;NA
"57391V443788";"Skivn. Oslo gr";"FV1422 S1D1 m899";"Fv1422";"Viken";"Nordre Follo";59,819244;10,809571;"0.57391@443788";4200;2019;NA
"43379V443819";"Kirkeveien Høvik";"FV1428 S1D1 m2772";"Fv1428";"Viken";"Bærum";59,90757;10,56425;"0.43379@443819";7850;2018;NA
"18674V443880";"KIRKEVN V/HVALSTAD";"FV1436 S1D1 m730";"Fv1436";"Viken";"Asker";59,857433;10,467994;"0.18674@443880";6340;2016;-7,933
"72355V444049";"DØLIHAGEN BUSSHOLDE";"FV1496 S6D1 m3071";"Fv1496";"Viken";"Ullensaker";60,137746;11,173287;"0.72355@444049";12020;2019;-8,117
"39427V444105";"Vestbysvingen";"FV1551 S2D10 m220";"Fv1551";"Viken";"Eidsvoll";60,257793;11,183328;"0.34554@444105";9810;2019;NA
"71081V443831";"Stabekk seniorsenter";"FV1630 S1D1 m1788";"Fv1630";"Viken";"Bærum";59,910851;10,599737;"0.71103@443831";8400;2017;-19,088
"47719V443837";"VOLLSVEIEN";"FV1632 S1D1 m1146";"Fv1632";"Viken";"Bærum";59,940893;10,626438;"0.47717@443837";3130;2018;NA
"91761V625485";"Ljabrudiagonalen";"KV155 S1D1 m8153";"Kv155";"Oslo";"Oslo";59,840297;10,786571;"0.91761@625485";4780;2019;NA
"25348V625498";"Vækerøveien v/Ullernchaussen ";"KV160 S1D1 m1352";"Kv160";"Oslo";"Oslo";59,925897;10,641032;"0.21789@625498";20400;2019;NA
"13999V625502";"Finnmarksgata";"KV161 S1D1 m1083";"Kv161";"Oslo";"Oslo";59,916633;10,776114;"0.13999@625502";5300;2019;NA
"47044V625502";"Vøyen Bru";"KV161 S4D1 m1199";"Kv161";"Oslo";"Oslo";59,93278;10,758826;"0.47044@625502";12700;2019;NA
"07144V625582";"Sørkedalsveien";"KV168 S1D1 m2983";"Kv168";"Oslo";"Oslo";59,934471;10,697955;"0.07144@625582";15800;2019;NA
"71608V603756";"Bygdøy alle ";"KV10967 S1D1 m1318";"Kv10967";"Oslo";"Oslo";59,919245;10,696369;"0.71618@603756";10100;2019;NA
"32135V604101";"General Ruges Vei V/bøler";"KV12212 S1D1 m1126";"Kv12212";"Oslo";"Oslo";59,883897;10,84519;"0.32135@604101";7700;2019;NA
"17839V604335";"Holmenkollveien";"KV13070 S1D1 m1246";"Kv13070";"Oslo";"Oslo";59,948892;10,676231;"0.17839@604335";8020;2019;NA
"62991V604777";"Maridalsveien";"KV14622 S9D1 m425";"Kv14622";"Oslo";"Oslo";59,925009;10,750323;"0.62991@604777";10160;2019;NA
"61394V604898";"Nedre Kaldbakkvei";"KV14994 S1D1 m736";"Kv14994";"Oslo";"Oslo";59,945301;10,862771;"0.61394@604898";11170;2019;NA
"89787V605343";"Slemdalsveien";"KV16621 S1D1 m2971";"Kv16621";"Oslo";"Oslo";59,94942;10,699009;"0.89787@605343";10040;2019;NA
"61469V605671";"Tvetenveien v/Haugerud";"KV17852 S8D1 m565";"Kv17852";"Oslo";"Oslo";59,922564;10,855702;"0.61469@605671";11670;2019;NA
"84851V605851";"Østensjøveien v/Østensjø Skole";"KV18639 S4D1 m849";"Kv18639";"Oslo";"Oslo";59,899303;10,829179;"0.84851@605851";9740;2019;NA
