Område;Vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
Nord-Jæren ;R;Yrkesdøgn;5,6m - 7,6m;Mars;7,297;99,000;39435;36753;4.303;10.690
Nord-Jæren ;R;Yrkesdøgn;7,6m - 12,5m;Mars;5,829;99,000;38072;35975;3.862;9.593
Nord-Jæren ;R;Yrkesdøgn;12,5m - 16,0m;Mars;45,847;99,000;18015;12352;78.816;195.789
Nord-Jæren ;R;Yrkesdøgn;>= 16,0m;Mars;-6,477;99,000;32589;34846;5.505;13.675
Nord-Jæren ;R;Helgedøgn;Alle;Mars;0,739;100,000;399556;396625;1.510;3.752
Nord-Jæren ;R;Helgedøgn;< 5,6m;Mars;0,778;100,000;380399;377463;1.375;3.415
Nord-Jæren ;R;Helgedøgn;>= 5,6m;Mars;-0,063;100,000;19081;19093;4.317;10.725
Nord-Jæren ;R;Helgedøgn;5,6m - 7,6m;Mars;-0,982;100,000;6554;6619;6.409;15.921
Nord-Jæren ;R;Helgedøgn;7,6m - 12,5m;Mars;4,278;100,000;4509;4324;4.747;11.792
Nord-Jæren ;R;Helgedøgn;12,5m - 16,0m;Mars;6,089;100,000;3467;3268;10.574;26.268
Nord-Jæren ;R;Helgedøgn;>= 16,0m;Mars;-6,780;100,000;4551;4882;3.958;9.832
Nord-Jæren ;R;Alle;Alle;April;-9,902;99,000;1542601;1712140;1.979;4.916
Nord-Jæren ;R;Alle;< 5,6m;April;-10,062;99,000;1402170;1559042;1.891;4.698
Nord-Jæren ;R;Alle;>= 5,6m;April;-8,378;99,000;139730;152507;2.978;7.398
Nord-Jæren ;R;Alle;5,6m - 7,6m;April;-9,788;99,000;42598;47220;6.561;16.299
Nord-Jæren ;R;Alle;7,6m - 12,5m;April;-9,225;99,000;42990;47359;3.872;9.619
Nord-Jæren ;R;Alle;12,5m - 16,0m;April;15,877;99,000;19516;16842;41.966;104.249
Nord-Jæren ;R;Alle;>= 16,0m;April;-15,723;99,000;34626;41086;3.412;8.475
Nord-Jæren ;R;Yrkesdøgn;Alle;April;-11,480;99,000;1157162;1307225;2.065;5.129
Nord-Jæren ;R;Yrkesdøgn;< 5,6m;April;-11,663;99,000;1038007;1175049;1.937;4.811
Nord-Jæren ;R;Yrkesdøgn;>= 5,6m;April;-9,957;99,000;118565;131676;3.695;9.179
Nord-Jæren ;R;Yrkesdøgn;5,6m - 7,6m;April;-10,703;99,000;35835;40130;7.092;17.618
Nord-Jæren ;R;Yrkesdøgn;7,6m - 12,5m;April;-9,520;99,000;37618;41576;4.673;11.608
Nord-Jæren ;R;Yrkesdøgn;12,5m - 16,0m;April;16,931;99,000;15608;13348;52.793;131.144
Nord-Jæren ;R;Yrkesdøgn;>= 16,0m;April;-19,436;99,000;29504;36622;6.000;14.905
Nord-Jæren ;R;Helgedøgn;Alle;April;-4,810;100,000;385439;404915;2.906;7.219
Nord-Jæren ;R;Helgedøgn;< 5,6m;April;-5,164;100,000;364163;383993;2.968;7.374
Nord-Jæren ;R;Helgedøgn;>= 5,6m;April;1,603;100,000;21165;20831;2.269;5.636
Nord-Jæren ;R;Helgedøgn;5,6m - 7,6m;April;-4,612;100,000;6763;7090;7.624;18.940
Nord-Jæren ;R;Helgedøgn;7,6m - 12,5m;April;-7,107;100,000;5372;5783;4.919;12.219
