fylkenr;msnr;msnavn;Vegkategori;vegnr;hp;meter;ant_kjørefelt;ådt;første_igangsetting_datainn;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår
1;100227;FREDRIKSTAD BRU ØST;R;110;4;3823;2;;;Alle;5,6m - 7,6m;Hittil i år;-;-;-;-
1;100227;FREDRIKSTAD BRU ØST;R;110;4;3823;2;;;Alle;7,6m - 12,5m;Januar;-;-;-;-
1;100227;FREDRIKSTAD BRU ØST;R;110;4;3823;2;;;Alle;7,6m - 12,5m;Februar;-;-;-;-
1;100227;FREDRIKSTAD BRU ØST;R;110;4;3823;2;;;Alle;7,6m - 12,5m;Mars;-;-;-;-
1;100227;FREDRIKSTAD BRU ØST;R;110;4;3823;2;;;Alle;7,6m - 12,5m;April;-;-;-;-
1;100227;FREDRIKSTAD BRU ØST;R;110;4;3823;2;;;Alle;7,6m - 12,5m;Mai;-;0,000;-;-
1;100227;FREDRIKSTAD BRU ØST;R;110;4;3823;2;;;Alle;7,6m - 12,5m;Juni;-;-;-;-
1;100227;FREDRIKSTAD BRU ØST;R;110;4;3823;2;;;Alle;7,6m - 12,5m;Juli;-;0,000;-;-
1;100227;FREDRIKSTAD BRU ØST;R;110;4;3823;2;;;Alle;7,6m - 12,5m;August;-;0,000;-;-
1;100227;FREDRIKSTAD BRU ØST;R;110;4;3823;2;;;Alle;7,6m - 12,5m;Siste 12 måneder;-;-;-;-
1;100227;FREDRIKSTAD BRU ØST;R;110;4;3823;2;;;Alle;7,6m - 12,5m;Hittil i år;-;-;-;-
1;100227;FREDRIKSTAD BRU ØST;R;110;4;3823;2;;;Alle;12,5m - 16,0m;Januar;-;-;-;-
1;100227;FREDRIKSTAD BRU ØST;R;110;4;3823;2;;;Alle;12,5m - 16,0m;Februar;-;-;-;-
1;100227;FREDRIKSTAD BRU ØST;R;110;4;3823;2;;;Alle;12,5m - 16,0m;Mars;-;-;-;-
1;100227;FREDRIKSTAD BRU ØST;R;110;4;3823;2;;;Alle;12,5m - 16,0m;April;-;-;-;-
1;100227;FREDRIKSTAD BRU ØST;R;110;4;3823;2;;;Alle;12,5m - 16,0m;Mai;-;0,000;-;-
1;100227;FREDRIKSTAD BRU ØST;R;110;4;3823;2;;;Alle;12,5m - 16,0m;Juni;-;-;-;-
