områdetype;område;vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
By;Nedre Glomma;E+R;Helgedøgn;16,0m - 24,0m;August;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;>= 24,0m;August;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;Alle;September;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;< 5,6m;September;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;>= 5,6m;September;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;5,6m - 7,6m;September;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;7,6m - 12,5m;September;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;12,5m - 16,0m;September;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;16,0m - 24,0m;September;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;>= 24,0m;September;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;Alle;September;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;< 5,6m;September;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;>= 5,6m;September;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;5,6m - 7,6m;September;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;7,6m - 12,5m;September;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;12,5m - 16,0m;September;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;16,0m - 24,0m;September;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;>= 24,0m;September;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;Alle;September;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;< 5,6m;September;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;>= 5,6m;September;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;5,6m - 7,6m;September;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;7,6m - 12,5m;September;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;12,5m - 16,0m;September;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;16,0m - 24,0m;September;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;>= 24,0m;September;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;Alle;Oktober;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;< 5,6m;Oktober;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;>= 5,6m;Oktober;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;5,6m - 7,6m;Oktober;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;7,6m - 12,5m;Oktober;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;12,5m - 16,0m;Oktober;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;16,0m - 24,0m;Oktober;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;>= 24,0m;Oktober;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;Alle;Oktober;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;< 5,6m;Oktober;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;>= 5,6m;Oktober;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;5,6m - 7,6m;Oktober;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;7,6m - 12,5m;Oktober;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;12,5m - 16,0m;Oktober;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;16,0m - 24,0m;Oktober;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;>= 24,0m;Oktober;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;Alle;Oktober;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;< 5,6m;Oktober;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;>= 5,6m;Oktober;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;5,6m - 7,6m;Oktober;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;7,6m - 12,5m;Oktober;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;12,5m - 16,0m;Oktober;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;16,0m - 24,0m;Oktober;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;>= 24,0m;Oktober;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;Alle;November;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;< 5,6m;November;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;>= 5,6m;November;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;5,6m - 7,6m;November;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;7,6m - 12,5m;November;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;12,5m - 16,0m;November;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;16,0m - 24,0m;November;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;>= 24,0m;November;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;Alle;November;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;< 5,6m;November;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;>= 5,6m;November;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;5,6m - 7,6m;November;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;7,6m - 12,5m;November;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;12,5m - 16,0m;November;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;16,0m - 24,0m;November;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;>= 24,0m;November;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;Alle;November;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;< 5,6m;November;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;>= 5,6m;November;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;5,6m - 7,6m;November;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;7,6m - 12,5m;November;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;12,5m - 16,0m;November;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;16,0m - 24,0m;November;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;>= 24,0m;November;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;Alle;Desember;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;< 5,6m;Desember;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;>= 5,6m;Desember;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;5,6m - 7,6m;Desember;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;7,6m - 12,5m;Desember;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;12,5m - 16,0m;Desember;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;16,0m - 24,0m;Desember;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;>= 24,0m;Desember;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;Alle;Desember;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;< 5,6m;Desember;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;>= 5,6m;Desember;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;5,6m - 7,6m;Desember;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;7,6m - 12,5m;Desember;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;12,5m - 16,0m;Desember;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;16,0m - 24,0m;Desember;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Yrkesdøgn;>= 24,0m;Desember;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;Alle;Desember;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;< 5,6m;Desember;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;>= 5,6m;Desember;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;5,6m - 7,6m;Desember;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;7,6m - 12,5m;Desember;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;12,5m - 16,0m;Desember;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;16,0m - 24,0m;Desember;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Helgedøgn;>= 24,0m;Desember;-;0,000;0;0;-;-
By;Nedre Glomma;E+R;Alle;Alle;Januar;5,089;66,620;1482981;1411168;1.485;13.344
By;Nedre Glomma;E+R;Alle;< 5,6m;Januar;5,762;66,620;1310154;1238779;1.742;15.647
By;Nedre Glomma;E+R;Alle;>= 5,6m;Januar;0,302;66,620;172440;171921;0.960;8.628
By;Nedre Glomma;E+R;Alle;5,6m - 7,6m;Januar;7,956;66,620;32375;29989;3.945;35.442
By;Nedre Glomma;E+R;Alle;7,6m - 12,5m;Januar;5,151;66,620;37868;36013;5.729;51.476
By;Nedre Glomma;E+R;Alle;12,5m - 16,0m;Januar;-6,987;66,620;26171;28137;34.476;309.758
By;Nedre Glomma;E+R;Alle;16,0m - 24,0m;Januar;-2,734;66,620;72011;74035;5.339;47.971
By;Nedre Glomma;E+R;Alle;>= 24,0m;Januar;7,152;66,620;4015;3747;23.072;207.289
By;Nedre Glomma;E+R;Yrkesdøgn;Alle;Januar;4,978;66,600;1163207;1108051;1.251;11.244
By;Nedre Glomma;E+R;Yrkesdøgn;< 5,6m;Januar;5,746;66,600;1006930;952216;1.633;14.675
By;Nedre Glomma;E+R;Yrkesdøgn;>= 5,6m;Januar;0,337;66,600;155919;155396;1.611;14.475
By;Nedre Glomma;E+R;Yrkesdøgn;5,6m - 7,6m;Januar;7,613;66,600;28750;26716;2.946;26.467
By;Nedre Glomma;E+R;Yrkesdøgn;7,6m - 12,5m;Januar;4,612;66,600;33821;32330;4.380;39.355
By;Nedre Glomma;E+R;Yrkesdøgn;12,5m - 16,0m;Januar;-6,191;66,600;23897;25474;35.828;321.905
By;Nedre Glomma;E+R;Yrkesdøgn;16,0m - 24,0m;Januar;-2,455;66,600;65760;67415;5.069;45.540
By;Nedre Glomma;E+R;Yrkesdøgn;>= 24,0m;Januar;6,645;66,600;3691;3461;22.949;206.189
By;Nedre Glomma;E+R;Helgedøgn;Alle;Januar;5,495;66,670;319774;303117;2.420;21.746
