områdetype;område;vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
By;Tromsø;E;Helgedøgn;>= 5,6m;Januar;0,090;99,540;15564;15550;4.603;5.715
By;Tromsø;E;Helgedøgn;5,6m - 7,6m;Januar;-2,843;99,540;5057;5205;7.337;9.110
By;Tromsø;E;Helgedøgn;7,6m - 12,5m;Januar;-19,421;99,540;4535;5628;7.897;9.805
By;Tromsø;E;Helgedøgn;12,5m - 16,0m;Januar;42,339;99,540;4041;2839;38.742;48.104
By;Tromsø;E;Helgedøgn;16,0m - 24,0m;Januar;-0,346;99,540;1729;1735;7.776;9.655
By;Tromsø;E;Helgedøgn;>= 24,0m;Januar;41,259;99,540;202;143;20.284;25.186
By;Tromsø;E;Alle;Alle;Februar;0,551;95,570;1613503;1604660;3.581;4.447
By;Tromsø;E;Alle;< 5,6m;Februar;-0,343;95,090;1467999;1473048;3.263;4.051
By;Tromsø;E;Alle;>= 5,6m;Februar;10,346;95,090;143687;130215;8.113;10.074
By;Tromsø;E;Alle;5,6m - 7,6m;Februar;6,343;95,090;50984;47943;3.278;4.071
By;Tromsø;E;Alle;7,6m - 12,5m;Februar;-2,884;95,090;48690;50136;12.787;15.877
By;Tromsø;E;Alle;12,5m - 16,0m;Februar;64,821;95,090;26790;16254;46.364;57.568
By;Tromsø;E;Alle;16,0m - 24,0m;Februar;7,326;95,090;16393;15274;7.623;9.465
By;Tromsø;E;Alle;>= 24,0m;Februar;36,513;95,090;830;608;12.834;15.935
By;Tromsø;E;Yrkesdøgn;Alle;Februar;0,116;97,320;1314271;1312754;3.712;4.610
By;Tromsø;E;Yrkesdøgn;< 5,6m;Februar;-0,841;96,670;1184370;1194419;3.310;4.110
By;Tromsø;E;Yrkesdøgn;>= 5,6m;Februar;9,713;96,670;128337;116975;8.905;11.056
By;Tromsø;E;Yrkesdøgn;5,6m - 7,6m;Februar;6,111;96,670;45948;43302;3.801;4.719
By;Tromsø;E;Yrkesdøgn;7,6m - 12,5m;Februar;-3,927;96,670;44131;45935;13.297;16.511
By;Tromsø;E;Yrkesdøgn;12,5m - 16,0m;Februar;69,557;96,670;22819;13458;50.451;62.643
By;Tromsø;E;Yrkesdøgn;16,0m - 24,0m;Februar;7,096;96,670;14775;13796;8.055;10.001
By;Tromsø;E;Yrkesdøgn;>= 24,0m;Februar;37,190;96,670;664;484;11.440;14.204
By;Tromsø;E;Helgedøgn;Alle;Februar;2,510;91,370;299232;291906;3.590;4.457
By;Tromsø;E;Helgedøgn;< 5,6m;Februar;1,795;91,270;283629;278629;3.740;4.644
By;Tromsø;E;Helgedøgn;>= 5,6m;Februar;15,937;91,270;15350;13240;2.248;2.791
By;Tromsø;E;Helgedøgn;5,6m - 7,6m;Februar;8,511;91,270;5036;4641;7.556;9.382
By;Tromsø;E;Helgedøgn;7,6m - 12,5m;Februar;8,522;91,270;4559;4201;6.671;8.283
By;Tromsø;E;Helgedøgn;12,5m - 16,0m;Februar;42,024;91,270;3971;2796;28.176;34.985
By;Tromsø;E;Helgedøgn;16,0m - 24,0m;Februar;9,472;91,270;1618;1478;7.914;9.827
By;Tromsø;E;Helgedøgn;>= 24,0m;Februar;33,871;91,270;166;124;29.610;36.766
