city_area_name;legacyNortrafMpn;base_year;agreement_start
Tromsø;1900267;2017;2017
Tromsø;1900268;2017;2017
Tromsø;1900269;2017;2017
Tromsø;1900270;2017;2017
Tromsø;1900273;2017;2017
Tromsø;1900276;2017;2017
Tromsø;1900280;2017;2017
Tromsø;1900441;2017;2017
Trondheim;1600012;2017;2017
Trondheim;1600078;2017;2017
Trondheim;1600097;2017;2017
Trondheim;1600101;2017;2017
Trondheim;1600122;2017;2017
Trondheim;1600125;2017;2017
Trondheim;1600126;2017;2017
Trondheim;1600127;2017;2017
Trondheim;1600149;2017;2017
Trondheim;1601417;2017;2017
Trondheim;1601418;2017;2017
Trondheim;1601419;2017;2017
Trondheim;1602407;2017;2017
Trondheim;51;2017;2017
Trondheim;52;2017;2017
Trondheim;53;2017;2017
Trondheim;54;2017;2017
Trondheim;55;2017;2017
Trondheim;56;2017;2017
Trondheim;57;2017;2017
Trondheim;58;2017;2017
Trondheim;59;2017;2017
Trondheim;60;2017;2017
Trondheim;61;2017;2017
Trondheim;62;2017;2017
Trondheim;64;2017;2017
Trondheim;65;2017;2017
Trondheim;66;2017;2017
Trondheim;67;2017;2017
Trondheim;68;2017;2017
Trondheim;69;2017;2017
Trondheim;85;2017;2017
Trondheim;86;2017;2017
