"trp_id";"year";"day_type";"coverage";"n_days";"n_days_of_year";"valid_length_volume";"valid_speed_volume";"adt";"standard_deviation";"standard_error"
"64526V2201224";2020;"WEEKEND";23,21;26;112;7208;7217;10330;1884;325,22
"51809V443636";2020;"WEEKEND";100;112;112;8925;8926;8930;1890;0
"15798V2507685";2020;"WEEKEND";99,99;112;112;6999;6999;7000;1453;0
"15903V180958";2020;"WEEKEND";78,57;88;112;5102;5118;8000;1459;72,32
"48300V443646";2020;"WEEKEND";6,25;7;112;8910;8912;13480;3583;1317,14
"17096V443647";2020;"WEEKEND";88,39;99;112;6927;6941;11400;2635;90,63
"63779V443654";2020;"WEEKEND";100;112;112;9221;9221;9220;1565;0
"15135V443654";2020;"WEEKEND";100;112;112;12865;12865;12870;2232;0
"02778V443654";2020;"WEEKEND";83,04;93;112;10593;10605;14900;2568;110,17
"64745V443652";2020;"WEEKEND";98,21;110;112;5765;5769;10000;2000;25,6
"00222V444290";2020;"WEEKEND";100;112;112;8532;8533;8540;1532;0
"28387V444290";2020;"WEEKEND";94,54;106;112;7775;7775;7780;1414;31,93
"41471V443658";2020;"WEEKEND";89,29;100;112;3656;3664;5210;912;29,99
"13322V443660";2020;"WEEKEND";96,43;108;112;6576;6589;9590;1814;33,14
"41331V443662";2020;"WEEKEND";100;112;112;9509;9510;9510;2182;0
"44176V444229";2020;"WEEKEND";82,14;92;112;2215;2215;2220;520;23,01
"62753V444229";2020;"WEEKEND";73,21;82;112;1229;1229;1230;411;23,6
"18573V444291";2020;"WEEKEND";100;112;112;739;744;1200;795;0
"80190V443670";2020;"WEEKEND";100;112;112;2529;2538;4030;711;0
"55647V444294";2020;"WEEKEND";96,43;108;112;1891;1898;4990;889;16,24
"16271V444295";2020;"WEEKEND";100;112;112;4923;4923;4920;826;0
"15504V444296";2020;"WEEKEND";97,32;109;112;2504;2515;3780;520;8,19
"49248V444298";2020;"WEEKEND";100;112;112;1779;1789;2740;473;0
"77175V1219583";2020;"WEEKEND";100;112;112;4249;4249;4250;986;0
"32982V443679";2020;"WEEKEND";100;112;112;5826;5826;5830;1048;0
"74537V2744461";2020;"WEEKEND";94,62;106;112;6598;6608;10820;2110;47,65
"08372V2744463";2020;"WEEKEND";94,62;106;112;5359;5369;8440;1872;42,27
"81350V444302";2020;"WEEKEND";100;112;112;1825;1825;1830;325;0
"18012V444303";2020;"WEEKEND";100;112;112;2507;2507;2510;440;0
"99950V704686";2020;"WEEKEND";99,1;111;112;829;835;1310;276;2,49
"14030V705244";2020;"WEEKEND";99,11;111;112;732;737;1120;240;2,16
"89244V705244";2020;"WEEKEND";100;112;112;396;399;660;125;0
"20000V2499814";2020;"WEEKEND";100;112;112;767;767;770;161;0
"11160V443688";2020;"WEEKEND";92,86;104;112;1209;1215;1880;639;16,82
"96209V444306";2020;"WEEKEND";100;112;112;775;775;780;181;0
"84303V443695";2020;"WEEKEND";75;84;112;4459;4459;4460;1141;62,53
"07643V2368074";2020;"WEEKEND";77,68;87;112;5968;5976;8710;2463;125,32
"06871V443706";2020;"WEEKEND";99,94;112;112;2320;2320;2320;704;0
"01615V443711";2020;"WEEKEND";100;112;112;4210;4219;6590;1498;0
"40748V443711";2020;"WEEKEND";100;112;112;5954;5954;5960;1292;0
"53450V704692";2020;"WEEKEND";92,83;104;112;761;761;760;171;4,5
"61047V704835";2020;"WEEKEND";100;112;112;2793;2794;2800;900;0
"51934V2523546";2020;"WEEKEND";89,29;100;112;3644;3651;5550;1829;60,14
"08255V705294";2020;"WEEKEND";100;112;112;7398;7398;7400;1234;0
"28820V705294";2020;"WEEKEND";99,11;111;112;1827;1837;2580;879;7,92
"78982V705294";2020;"WEEKEND";100;112;112;996;996;1000;247;0
"90316V704817";2020;"WEEKEND";20,54;23;112;4011;4012;4010;1099;205,2
"43900V704808";2020;"WEEKEND";76,78;86;112;4775;4780;7410;2253;117,58
"76019V704826";2020;"WEEKEND";100;112;112;5745;5747;5750;1291;0
"15329V704987";2020;"WEEKEND";77,68;87;112;1886;1886;1890;648;32,97
"49306V704987";2020;"WEEKEND";100;112;112;4608;4622;4640;1347;0
"04929V704558";2020;"WEEKEND";90,18;101;112;3193;3197;4820;1538;48,18
"17681V704560";2020;"WEEKEND";100;112;112;6565;6565;6570;1565;0
"01476V704695";2020;"WEEKEND";100;112;112;1724;1724;1720;343;0
