city_area_name;legacyNortrafMpn;base_year;agreement_start;trp_id;kommentar
Oslo og Akershus;300225;2017;2017;79755V625294;
Oslo og Akershus;300231;2017;2017;66410V625367;
Oslo og Akershus;300233;2017;2017;48379V625405;
Oslo og Akershus;300349;2017;2017;79854V625215;
Oslo og Akershus;302137;2017;2017;29403V625517;
Tromsø;1900103;2017;2017;85147V1201967;
Tromsø;1900107;2017;2017;52043V1664653;
Tromsø;1900204;2017;2017;79743V1125914;
Tromsø;1900225;2017;2017;02636V1125920;
Tromsø;1900226;2017;2017;62639V2268190;
Tromsø;1900227;2017;2017;03836V1125958;
Tromsø;1900265;2017;2017;05293V1125916;
Tromsø;1900267;2017;2017;31958V1125796;
Tromsø;1900268;2017;2017;31157V2782679;
Tromsø;1900269;2017;2017;68511V2673383;
Tromsø;1900270;2017;2017;55092V1125799;
Tromsø;1900273;2017;2017;49212V1126027;
Tromsø;1900276;2017;2017;13980V1126353;
Tromsø;1900280;2017;2017;71291V1125935;
Tromsø;1900441;2017;2017;52576V1126026;
Trondheim;1600012;2017;2017;81077V72158;
Trondheim;1600078;2017;2017;81008V41567;
Trondheim;1600097;2017;2017;14772V41375;
Trondheim;1600101;2017;2017;16219V72812;
Trondheim;1600122;2017;2017;27372V72852;
Trondheim;1600125;2017;2017;65625V41945;
Trondheim;1600126;2017;2017;21801V72158;
Trondheim;1600127;2017;2017;88356V72157;
Trondheim;1600149;2017;2017;21571V2394246;
Trondheim;1600149;2017;2017;73951V2394243;
Trondheim;1601417;2017;2017;91594V1677415;
Trondheim;1601418;2017;2017;09604V1677439;
Trondheim;1601419;2017;2017;03960V1677432;
Trondheim;1602407;2017;2017;20570V72811;
Oslo og Akershus;;2019;2019;52685V444218;
Oslo og Akershus;;2019;2019;10924V2275488;
Oslo og Akershus;;2019;2019;77061V444230;
Oslo og Akershus;;2019;2019;14487V2479113;
Oslo og Akershus;;2019;2019;13658V2659403;
Oslo og Akershus;;2019;2019;87161V2659404;
Oslo og Akershus;;2019;2019;01615V443711;
Oslo og Akershus;;2019;2019;00492V443603;
Oslo og Akershus;;2019;2019;00222V444290;
Oslo og Akershus;;2019;2019;63730V443521;
Oslo og Akershus;;2019;2019;76429V2548000;
Oslo og Akershus;;2019;2019;77294V2571508;
Oslo og Akershus;;2019;2019;74943V443384;
Oslo og Akershus;;2019;2019;16271V444295;
Oslo og Akershus;;2019;2019;84303V443695;
Oslo og Akershus;;2019;2019;80141V444220;
Oslo og Akershus;;2019;2019;42754V444240;
Oslo og Akershus;;2019;2019;68651V2350599;
Oslo og Akershus;;2019;2019;59048V2545015;
Oslo og Akershus;;2019;2019;32088V444219;
Oslo og Akershus;;2019;2019;15135V443654;
Oslo og Akershus;;2019;2019;88563V444277;
Oslo og Akershus;;2019;2019;00378V444233;
Oslo og Akershus;;2019;2019;04925V444232;
Oslo og Akershus;;2019;2019;56322V444263;
Oslo og Akershus;;2019;2019;79110V444262;
Oslo og Akershus;;2019;2019;24927V443403;
Oslo og Akershus;;2019;2019;90390V443603;
Oslo og Akershus;;2019;2019;27857V444273;
Oslo og Akershus;;2019;2019;88046V1874722;
Oslo og Akershus;;2019;2019;70816V443409;
Oslo og Akershus;;2019;2019;51809V443636;
Oslo og Akershus;;2019;2019;41331V443662;
Oslo og Akershus;;2019;2019;28516V444278;
Oslo og Akershus;;2019;2019;60538V443575;
Oslo og Akershus;;2019;2019;80669V444288;
Oslo og Akershus;;2019;2019;63827V443579;
Oslo og Akershus;;2019;2019;98682V444320;
Oslo og Akershus;;2019;2019;18674V443880;
Oslo og Akershus;;2019;2019;43379V443819;
Oslo og Akershus;;2019;2019;47719V443837;
Oslo og Akershus;;2019;2019;32982V443679;
Oslo og Akershus;;2019;2019;72355V444049;
Oslo og Akershus;;2019;2019;18512V1665976;
Oslo og Akershus;;2019;2019;48300V443646;
Oslo og Akershus;;2019;2019;22654V443542;
Oslo og Akershus;;2019;2019;71081V443831;
Oslo og Akershus;;2019;2019;31290V625405;
