"msnr";"msnavn";"maaned";"trafikkmengde.basisaar";"trafikkmengde.indeksaar";"indeks";"dekningsgrad"
9916056;"Kroppan bru, M-snitt";"7";367642;335876;"-8.64047089287948";"100"
9916058;"Være (Gml. E6), N-snitt";"7";226289;230953;"2.06108118379593";"100"
9916059;"Rv 706 Leangensletta, O-snitt";"7";562859;568180;"0.945352210766814";"100"
9916060;"Haakon VII s gt , O-snitt";"7";293472;277979;"-5.27920891941991";"100"
9916061;"Landbruksvegen, O-snitt";"7";147008;136903;"-6.87377557683936";"100"
9916062;"Tungasletta, O-snitt";"7";163336;102465;"-37.2673507371308";"100"
9916064;"Thorbjørn Bratts veg, O-snitt";"7";290552;270329;"-6.96019989537157";"100"
9916065;"Bratsbergveien, O-snitt";"7";144636;140913;"-2.57404795486601";"100"
9916066;"Tempeveien, O-snitt";"7";74702;72006;"-3.60900645230382";"100"
9916067;"Bøckmans veg, B-snitt";"7";117594;113342;"-3.61583073966358";"100"
9916068;"Byåsveien, B-snitt";"7";223268;212111;"-4.99713348979701";"100"
9916069;"Gamle Oslovei, B-snitt";"7";91518;88534;"-3.26056076400271";"100"
9916085;"Fv 704 Torgårdsletta. K-snitt";"7";52751;61149;"15.9200773445053";"100"
9916086;"Tillerbrua, K-snitt";"7";134152;124764;"-6.99803208301032";"100"
9916051;"Klett - Rv.707, S-snitt";"8";213042;192777;"-9.51220886022475";"100"
9916052;"Klett - E6, S-snitt";"8";744085;601683;"-19.1378673135462";"100"
9916053;"Nedre Leirfoss (Fossestuvegen), M-snitt";"8";66216;63043;"-4.7918931980186";"100"
9916054;"Bjørndalen (Oslovn.) M-snitt)";"8";285925;259228;"-9.33706391536242";"100"
9916055;"Nord for Sluppen bru (Tempevn), M-snitt";"8";336284;287961;"-14.3696994207277";"100"
9916056;"Kroppan bru, M-snitt";"8";460985;404054;"-12.3498595398983";"100"
9916058;"Være (Gml. E6), N-snitt";"8";286926;259441;"-9.57912493116692";"100"
9916059;"Rv 706 Leangensletta, O-snitt";"8";718852;676440;"-5.89996271833423";"100"
9916060;"Haakon VII s gt , O-snitt";"8";362594;323558;"-10.7657600511867";"100"
