Tellepunkt;Veg;Sted;Meter;HP;År;Felt;L.Klasse;ADT;ÅDTavvik;SDT;SDTavvik;YDT;YDTavvik;HDT;HDTavvik;JDT;JDTavvik
1100195;EV39;FOLKVORD;1384;7;2017;R1;20;18170;3;18394;0;20041;2;14049;7;16443;0
1100195;EV39;FOLKVORD;1384;7;2017;R2;20;18625;3;18701;0;21136;2;13095;7;16691;0
1100199;EV39;NORDBØ NORD;1368;11;2017;1;20;2498;0;2872;0;2580;0;2319;0;2923;0
1100199;EV39;NORDBØ NORD;1368;11;2017;2;20;2507;0;2888;0;2434;0;2666;0;2956;0
400215;EV6;RUDSHØGDA N;7250;5;2017;R0;20;16708;58;18626;148;18213;64;13395;45;18589;0
1100199;EV39;NORDBØ NORD;1368;11;2017;R1;20;2498;0;2872;0;2580;0;2319;0;2923;0
1100199;EV39;NORDBØ NORD;1368;11;2017;R2;20;2507;0;2888;0;2434;0;2666;0;2956;0
1100201;EV39;Eikjekrysset sør;16180;15;2017;1;20;2601;2;2989;6;2725;1;2326;2;3008;0
1100201;EV39;Eikjekrysset sør;16180;15;2017;2;20;2591;2;2992;7;2555;1;2670;2;3031;0
400217;RV2;MATRAND S;5510;2;2017;R0;20;6454;68;8015;200;6656;72;6010;60;8937;303
1100201;EV39;Eikjekrysset sør;16180;15;2017;R1;20;2601;2;2989;6;2725;1;2326;2;3008;0
1100201;EV39;Eikjekrysset sør;16180;15;2017;R2;20;2591;2;2992;7;2555;1;2670;2;3031;0
1100220;EV39;Lassa;1683;9;2017;1;20;14460;0;13838;0;15901;0;11288;0;12029;0
1100220;EV39;Lassa;1683;9;2017;2;20;13797;0;13168;0;15210;0;10686;0;11450;0
400220;EV16;SKANSGARDEN;1586;5;2017;R0;20;1762;37;2055;31;1852;37;1564;36;2109;11
1100220;EV39;Lassa;1683;9;2017;R1;20;14460;0;13838;0;15901;0;11288;0;12029;0
1100220;EV39;Lassa;1683;9;2017;R2;20;13797;0;13168;0;15210;0;10686;0;11450;0
1100376;EV39;Haukås;4520;16;2017;1;20;2213;87;2605;136;2376;90;1854;79;2648;138
1100376;EV39;Haukås;4520;16;2017;2;20;2238;87;2648;138;2315;88;2069;86;2713;141
400224;FV222;SOLVANG;2100;3;2017;R0;20;11330;17;11578;0;12885;17;7904;17;9497;0
1100376;EV39;Haukås;4520;16;2017;R1;20;2213;87;2605;136;2376;90;1854;79;2648;138
1100376;EV39;Haukås;4520;16;2017;R2;20;2238;87;2648;138;2315;88;2069;86;2713;141
1100716;EV39;BYHAUGTUNNELEN sør;3045;9;2017;1;20;10748;77;10622;0;11952;87;8099;54;9491;0
1100716;EV39;BYHAUGTUNNELEN sør;3045;9;2017;2;20;10853;77;10731;0;11991;87;8347;56;9568;0
400226;FV216;OLASVEEN N;11130;2;2017;R0;20;2111;101;2996;167;2015;98;2324;111;3539;193
1100716;EV39;BYHAUGTUNNELEN sør;3045;9;2017;R1;20;10748;77;10622;0;11952;87;8099;54;9491;0
1100716;EV39;BYHAUGTUNNELEN sør;3045;9;2017;R2;20;10853;77;10731;0;11991;87;8347;56;9568;0
1200003;EV39;FLØYFJELLTUNNELEN;777;19;2017;1;20;6793;-999;6554;-999;8254;-999;3576;-999;4885;-999
1200003;EV39;FLØYFJELLTUNNELEN;777;19;2017;2;20;5384;-999;5241;-999;6430;-999;3081;-999;3738;-999
1200003;EV39;FLØYFJELLTUNNELEN;777;19;2017;3;20;15750;-999;15408;-999;17420;-999;12074;-999;13521;-999
1200003;EV39;FLØYFJELLTUNNELEN;777;19;2017;4;20;17756;-999;17688;-999;19563;-999;13779;-999;15489;-999
400227;RV2;MOROKULIEN;1267;1;2017;R0;20;7756;0;9057;0;7758;0;7750;0;9878;0
1200003;EV39;FLØYFJELLTUNNELEN;777;19;2017;R1;20;22543;8;21962;0;25673;8;15650;7;18406;0
1200003;EV39;FLØYFJELLTUNNELEN;777;19;2017;R2;20;23141;8;22929;0;25993;8;16861;8;19227;0
1200007;EV39;RØYKENES;6270;15;2017;1;20;6630;0;6703;0;7246;0;5272;0;5835;0
1200007;EV39;RØYKENES;6270;15;2017;2;20;6420;0;6499;0;7120;0;4880;0;5694;0
400228;FV222;STRANDGATA X25;80;3;2017;R0;20;9381;265;9919;351;10302;286;7354;218;9396;336
1200007;EV39;RØYKENES;6270;15;2017;R1;20;6630;0;6703;0;7246;0;5272;0;5835;0
1200007;EV39;RØYKENES;6270;15;2017;R2;20;6420;0;6499;0;7120;0;4880;0;5694;0
1200018;EV39;SVEIO;1800;3;2017;1;20;2805;0;3143;0;2992;0;2395;0;3053;0
1200018;EV39;SVEIO;1800;3;2017;2;20;2802;0;3143;0;3002;0;2359;0;3080;0
400229;FV206;RIKSGR LINNA;15550;3;2017;R0;20;339;2;445;8;340;2;337;2;513;8
1200018;EV39;SVEIO;1800;3;2017;R1;20;2805;0;3143;0;2992;0;2395;0;3053;0
1200018;EV39;SVEIO;1800;3;2017;R2;20;2802;0;3143;0;3002;0;2359;0;3080;0
1200019;EV39;AMALIE/MUNKEBOTTENT;23010;81;2017;1;20;4726;-999;5024;-999;5218;-999;3645;-999;4320;-999
1200019;EV39;AMALIE/MUNKEBOTTENT;23010;81;2017;3;20;206;-999;207;-999;240;-999;131;-999;169;-999
1200019;EV39;AMALIE/MUNKEBOTTENT;23010;81;2017;R1;20;4932;1;5232;4;5457;1;3776;1;4489;0
